timhrdy@MacBook-Pro-de-Tim Unify-App % npm outdated
Package                                    Current   Wanted   Latest  Location                                                Depended by
@babel/core                                 7.29.0   7.29.7   7.29.7  node_modules/@babel/core                                Unify-App
@expo/metro-runtime                         55.0.6  55.0.11  56.0.15  node_modules/@expo/metro-runtime                        Unify-App
@expo/vector-icons                          15.0.3   15.1.1   15.1.1  node_modules/@expo/vector-icons                         Unify-App
@react-native-async-storage/async-storage    2.2.0    2.2.0    3.1.1  node_modules/@react-native-async-storage/async-storage  Unify-App
@react-native-community/netinfo             11.5.2   11.5.2   12.0.1  node_modules/@react-native-community/netinfo            Unify-App
@react-native-community/slider               5.1.2    5.1.2    5.2.0  node_modules/@react-native-community/slider             Unify-App
@react-navigation/bottom-tabs                6.6.1    6.6.1   7.18.0  node_modules/@react-navigation/bottom-tabs              Unify-App
@react-navigation/native                    6.1.18   6.1.18    7.3.1  node_modules/@react-navigation/native                   Unify-App
@react-navigation/native-stack              6.11.0   6.11.0   7.17.3  node_modules/@react-navigation/native-stack             Unify-App
@supabase/supabase-js                       2.96.0  2.108.1  2.108.1  node_modules/@supabase/supabase-js                      Unify-App
@types/lodash                              4.17.23  4.17.24  4.17.24  node_modules/@types/lodash                              Unify-App
@types/react                               19.2.14  19.2.17  19.2.17  node_modules/@types/react                               Unify-App
eslint                                      8.57.1   8.57.1   10.4.1  node_modules/eslint                                     Unify-App
expo                                       55.0.26  55.0.26  56.0.11  node_modules/expo                                       Unify-App
expo-apple-authentication                   55.0.8  55.0.13   56.0.4  node_modules/expo-apple-authentication                  Unify-App
expo-auth-session                           55.0.7  55.0.16  56.0.14  node_modules/expo-auth-session                          Unify-App
expo-crypto                                 55.0.9  55.0.15   56.0.4  node_modules/expo-crypto                                Unify-App
expo-dev-client                            55.0.11  55.0.35  56.0.20  node_modules/expo-dev-client                            Unify-App
expo-font                                   55.0.8   55.0.8   56.0.6  node_modules/expo-font                                  Unify-App
expo-image-picker                          55.0.11  55.0.20  56.0.17  node_modules/expo-image-picker                          Unify-App
expo-linear-gradient                        55.0.8  55.0.14   56.0.4  node_modules/expo-linear-gradient                       Unify-App
expo-location                               55.1.2  55.1.10  56.0.17  node_modules/expo-location                              Unify-App
expo-notifications                         55.0.11  55.0.23  56.0.17  node_modules/expo-notifications                         Unify-App
expo-secure-store                           55.0.8  55.0.14   56.0.4  node_modules/expo-secure-store                          Unify-App
expo-status-bar                             55.0.4   55.0.6   56.0.4  node_modules/expo-status-bar                            Unify-App
expo-task-manager                           55.0.9  55.0.16  56.0.18  node_modules/expo-task-manager                          Unify-App
expo-web-browser                            55.0.9  55.0.16   56.0.5  node_modules/expo-web-browser                           Unify-App
firebase                                   MISSING  11.10.0  12.14.0  -                                                       Unify-App
jest                                        29.7.0   29.7.0   30.4.2  node_modules/jest                                       Unify-App
prettier                                     3.8.1    3.8.4    3.8.4  node_modules/prettier                                   Unify-App
react                                       19.2.0   19.2.0   19.2.7  node_modules/react                                      Unify-App
react-dom                                   19.2.0   19.2.0   19.2.7  node_modules/react-dom                                  Unify-App
react-native                                0.83.2   0.83.2   0.86.0  node_modules/react-native                               Unify-App
react-native-chart-kit                      6.12.0   6.12.3   6.12.3  node_modules/react-native-chart-kit                     Unify-App
react-native-gesture-handler                2.30.0   2.30.1    3.0.1  node_modules/react-native-gesture-handler               Unify-App
react-native-maps                          1.26.20  1.26.20   1.27.2  node_modules/react-native-maps                          Unify-App
react-native-reanimated                      4.2.1    4.2.1    4.4.1  node_modules/react-native-reanimated                    Unify-App
react-native-safe-area-context               5.6.2    5.6.2    5.8.0  node_modules/react-native-safe-area-context             Unify-App
react-native-screens                        4.23.0   4.23.0   4.25.2  node_modules/react-native-screens                       Unify-App
react-native-svg                           15.15.3  15.15.5  15.15.5  node_modules/react-native-svg                           Unify-App
react-native-worklets                        0.7.2    0.7.2    0.9.2  node_modules/react-native-worklets                      Unify-App
typescript                                   5.9.3    5.9.3    6.0.3  node_modules/typescript                                 Unify-App
